text;biling_sent_rel;biling_type;biling_stance;biling_arg;abstract_number;;;;;;
The disease-state of this age-related cognitive decline is Alzheimer’s disease and other dementias, which may cause older adults to lose their independence and rely on others to live safely, burdening family members and health care systems in the process.;-1;1;-1;-1;12;;;;;;
However, there are two lines of research that offer hope to those seeking to promote healthy cognitive aging.;-1;1;-1;-1;12;;;;;;
First, it has been observed that lifestyle variables such as cognitive leisure activities can moderate the risk of Alzheimer’s disease, which has led to the development of plasticity-based interventions for older adults designed to protect against the adverse effects of cognitive decline.;-1;1;2;1;12;;;;;;
Second, there is evidence that lifelong bilingualism acts as a safeguard in preserving healthy brain function, possibly delaying the incidence of dementia by several years.;1;1;2;1;12;;;;;;
In previous work, we have suggested that foreign language learning programs aimed at older populations are an optimal solution for building cognitive reserve because language learning engages an extensive brain network that is known to overlap with the regions negatively affected by the aging process.;0;1;2;1;12;;;;;;
Here, we will outline potential future lines of research that may uncover the mechanism responsible for the emergence of language learning related brain advantages, such as language typology, bi- vs. multi-lingualism, age of acquisition, and the elements that are likely to result in the largest gains.;1;3;2;1;12;;;;;;
It has been suggested that bilingualism (where individuals speak two languages) may delay the development of dementia.;1;1;2;1;13;;;;;;
However, much of the research is inconclusive.;-1;1;0;1;13;;;;;;
Some researchers have reported that bilingualism delays the onset and diagnosis of dementia, whilst other studies have found weak or even detrimental effects.;1;1;1;1;13;;;;;;
This paper reviews a series of nine empirical studies, published up until March 2016, which investigated whether bilingualism significantly delays the onset of dementia.;1;2;-1;-1;13;;;;;;
The article also explores whether the inconsistent findings can be attributed to differences in study designs or the definitions of bilingualism used between studies.;1;2;-1;-1;13;;;;;;
Based on current evidence, it appears that lifelong bilingualism, where individuals frequently use both languages, may be protective against dementia.;1;3;2;1;13;;;;;;
However, becoming bilingual in adulthood or using the second language infrequently is unlikely to substantially delay onset of the disease.;1;3;0;1;13;;;;;;
Within the current debates on cognitive reserve, cognitive ageing and dementia increasingly showing a positive effect of mental, social and physical activities on health in older age, bilingualism remains one of the most controversial issues.;1;1;1;-1;14;;;;;;
Some reasons for it might be social or even ideological.;-1;1;1;1;14;;;;;;
However, one of the most important genuine problems facing bilingualism research is the high number of potential confounding variables.;1;1;1;1;14;;;;;;
Bilingual communities often differ from monolingual ones in a range of genetic and environmental variables.;1;1;1;1;14;;;;;;
In addition, within the same population, bilingual individuals could be different from the outset from those who remain monolingual.;1;1;1;1;14;;;;;;
We discuss the most common confounding variables in the study of bilingualism, aging and dementia, such as group heterogeneity, migration, social factors, differences in general intelligence and the related issue of reverse causality.;1;2;-1;-1;14;;;;;;
We describe different ways in which they can be minimised by the choice of the studied populations and the collected data.;-1;2;-1;-1;14;;;;;;
In this way, the emerging picture of the interaction between bilingualism and cognitive aging becomes more complex, but also more convincing.;1;3;1;1;14;;;;;;
Recent evidence suggests a positive impact of bilingualism on cognition, including later onset of dementia.;1;1;2;1;15;;;;;;
However, monolinguals and bilinguals might have different baseline cognitive ability.;1;1;0;1;15;;;;;;
We present the first study examining the effect of bilingualism on later-life cognition controlling for childhood intelligence.;1;2;-1;-1;15;;;;;;
We studied 853 participants, first tested in 1947 (age 5 11 years), and retested in 2008–2010.;-1;2;-1;-1;15;;;;;;
Bilinguals performed significantly better than predicted from their baseline cognitive abilities, with strongest effects on general intelligence and reading.;1;3;2;1;15;;;;;;
Our results suggest a positive effect of bilingualism on later-life cognition, including in those who acquired their second language in adulthood.;1;3;2;1;15;;;;;;
Dual language exposure and bilingualism are relatively common experiences for children.;1;1;-1;-1;16;;;;;;
The present review set out to synthesize the existing research on cognitive development in bilingual children and to identify the gaps and the methodological concerns present in the existing research.;1;2;-1;-1;16;;;;;;
A search of major databases for research conducted with typically developing, preschool-age dual language learners between 2000 and 2013 yielded 102 peer-reviewed articles.;0;2;-1;-1;16;;;;;;
The existing evidence points to areas of cognitive development in bilingual children where findings are robust or inconclusive, and reveals variables that influence performance.;1;3;0;1;16;;;;;;
The present review also identifies areas for future research and methodological limitations.;-1;3;-1;-1;16;;;;;;
Normal aging is an inevitable race between increasing knowledge and decreasing cognitive capacity.;-1;1;-1;-1;17;;;;;;
Crucial to understanding and promoting successful aging is determining which of these factors dominates for particular neurocognitive functions.;-1;1;-1;-1;17;;;;;;
Here, we focus on the human capacity for language, for which healthy older adults are simultaneously advantaged and disadvantaged.;0;1;-1;-1;17;;;;;;
In recent years, a more hopeful view of cognitive aging has emerged from work suggesting that age-related declines in executive control functions are buffered by life-long bilingualism.;1;1;2;1;17;;;;;;
In this paper, we selectively review what is currently known and unknown about bilingualism, executive control, and aging.;1;2;-1;-1;17;;;;;;
Our ultimate goal is to advance the views that these issues should be reframed as a specific instance of neuroplasticity more generally and, in particular, that researchers should embrace the individual variability among bilinguals by adopting experimental and statistical approaches that respect the complexity of the questions addressed.;1;2;-1;-1;17;;;;;;
In what follows, we set out the theoretical assumptions and empirical support of the bilingual advantages perspective, review what we know about language, cognitive control, and aging generally, and then highlight several of the relatively few studies that have investigated bilingual language processing in older adults, either on their own or in comparison with monolingual older adults.;1;2;2;1;17;;;;;;
We conclude with several recommendations for how the field ought to proceed to achieve a more multifactorial view of bilingualism that emphasizes the notion of neuroplasticity over that of simple bilingual versus monolingual group comparisons.;1;3;2;1;17;;;;;;
In the analysis and control framework, Bialystok identifies analysis (representation) and control (selective attention) as components of language processing and has shown that one of these, control, develops earlier in bilingual children than in comparable monolinguals.;1;1;2;1;18;;;;;;
In the theory of cognitive complexity and control (CCC), Zelazo and Frye argue that preschool children lack the conscious representation and executive functioning needed to solve problems based on conflicting rules.;0;1;-1;-1;18;;;;;;
The present study investigates whether the bilingual advantage in control can be found in a nonverbal task, the dimensional change card sort, used by Zelazo and Frye to assess CCC.;1;2;-1;-1;18;;;;;;
This problem contains misleading information characteristic of high-control tasks but minimal demands for analysis.;-1;2;-1;-1;18;;;;;;
Sixty preschool children, half of whom were bilingual, were divided into a group of younger (M 5 4,2) and older (M 5 5,5) children.;1;2;-1;-1;18;;;;;;
All the children were given a test of English proficiency (PPVT-R) and working memory (Visually-Cued Recall Task) to assure comparability of the groups and then administered the dimensional change card sort task and the moving word task.;-1;2;-1;-1;18;;;;;;
The bilingual children were more advanced than the monolinguals in the solving of experimental problems requiring high levels of control.;1;3;2;1;18;;;;;;
These results demonstrate the role of attentional control in both these tasks, extends our knowledge about the cognitive development of bilingual children, and provides a means of relating developmental proposals articulated in two different theoretical frameworks, namely, CCC and analysis-control.;1;3;-1;-1;18;;;;;;
The present paper summarizes research showing that bilingualism affects linguistic and cognitive performance across the lifespan.;1;1;1;1;19;;;;;;
The effect on linguistic performance is generally seen as a deficit in which bilingual children control a smaller vocabulary than their monolingual peers and bilingual adults perform more poorly on rapid lexical retrieval tasks.;1;3;0;1;19;;;;;;
The effect on cognitive performance is to enhance executive functioning and to protect against the decline of executive control in aging.;0;3;2;1;19;;;;;;
These effects interact to produce a complex pattern regarding the effect of bilingualism on memory performance.;1;3;1;1;19;;;;;;
Memory tasks based primarily on verbal recall are performed more poorly by bilinguals but memory tasks based primarily on executive control are performed better by bilinguals.;1;3;1;1;19;;;;;;
Speculations regarding the mechanism responsible for these effects are described.;-1;3;-1;-1;19;;;;;;
According to some estimates, more than half of the world’s population is multilingual to some extent. ;1;1;-1;-1;20;;;;;;
Because of the centrality of language use to human experience and the deep connections between linguistic and nonlinguistic processing, it would not be surprising to find that there are interactions between bilingualism and cognitive and brain processes.;1;1;1;1;20;;;;;;
The present review uses the framework of experience-dependent plasticity to evaluate the evidence for systematic modifications of brain and cognitive systems that can be attributed to bilingualism.;1;2;-1;-1;20;;;;;;
The review describes studies investigating the relation between bilingualism and cognition in infants and children, younger and older adults, and patients, using both behavioral and neuroimaging methods.;1;2;-1;-1;20;;;;;;
Excluded are studies whose outcomes focus primarily on linguistic abilities because of their more peripheral contribution to the central question regarding experience-dependent changes to cognition.;-1;2;-1;-1;20;;;;;;
Although most of the research discussed in the review reports some relation between bilingualism and cognitive or brain outcomes, several areas of research, notably behavioral studies with young adults, largely fail to show these effects.;1;3;-1;-1;20;;;;;;
These discrepancies are discussed and considered in terms of methodological and conceptual issues.;-1;3;-1;-1;20;;;;;;
The final section proposes an account based on “executive attention” to explain the range of research findings and to set out an agenda for the next steps in this field.;0;3;-1;-1;20;;;;;;
With the population aging and a dramatic increase in the number of senior citizens, public health systems will be increasingly burdened with the need to deal with the care and treatment of individuals with dementia.;-1;1;-1;-1;21;;;;;;
We review evidence demonstrating how a particular experience, bilingualism, has been shown to protect cognitive function in older age and delay onset of symptoms of dementia.;1;1;2;1;21;;;;;;
This paper describes behavioral and brain studies that have compared monolingual and bilingual older adults on measures of cognitive function or brain structure and reviews evidence demonstrating a protective effect of bilingualism against symptoms of dementia.;1;2;2;1;21;;;;;;
We conclude by presenting some data showing the potential savings in both human costs in terms of demented patients and economic considerations in terms of public money if symptoms of dementia could be postponed.;-1;3;-1;-1;21;;;;;;
Objective — Clinic-based studies suggest that dementia is diagnosed at older ages in bilinguals compared to monolinguals.;1;1;2;1;22;;;;;;
The current study sought to test this hypothesis in a large, prospective, community-based study of initially non-demented Hispanic immigrants living in a Spanishspeaking enclave of Northern Manhattan.;-1;2;-1;-1;22;;;;;;
Method — Participants included 1,067 participants in the Washington/Hamilton Heights Inwood Columbia Aging Project (WHICAP) who were tested in Spanish and followed at 18–24 month intervals for up to 23 years.;-1;2;-1;-1;22;;;;;;
Spanish-English bilingualism was estimated via both self-report and an objective measure of English reading level.;1;2;-1;-1;22;;;;;;
Multilevel models for change estimated the independent effects of bilingualism on cognitive decline in four domains: episodic memory, language, executive function, and speed.;1;2;-1;-1;22;;;;;;
Over the course of the study, 282 participants developed dementia.;-1;2;-1;-1;22;;;;;;
Cox regression was used to estimate the independent effect of bilingualism on dementia conversion.;1;2;-1;-1;22;;;;;;
Covariates included country of origin, gender, education, time spent in the United States, recruitment cohort, and age at enrollment.;-1;2;-1;-1;22;;;;;;
Results — Independent of the covariates, bilingualism was associated with better memory and executive function at baseline.;1;3;2;1;22;;;;;;
However bilingualism was not independently associated with rates of cognitive decline or dementia conversion.;1;3;0;1;22;;;;;;
Results were similar whether bilingualism was measured via self-report or an objective test of reading level.;1;3;-1;-1;22;;;;;;
Conclusions — This study does not support a protective effect of bilingualism on age-related cognitive decline or the development of dementia.;1;3;0;1;22;;;;;;
In this sample of Hispanic immigrants, bilingualism is related to higher initial scores on cognitive tests and higher educational attainment and may not represent a unique source of cognitive reserve.;1;3;0;1;22;;;;;;
The ability to control attention – by inhibiting pre-potent, yet no longer relevant information – is an essential skill in all of human learning, and increasing evidence suggests that this ability is enhanced in language learning environments in which the learner is managing and using more than one language.;0;1;2;1;23;;;;;;
One question waiting to be addressed is whether such efficient attentional control plays a role in word learning.;0;2;-1;-1;23;;;;;;
That is, children who must manage two languages also must manage to learn two languages and the advantages of more efficient attentional control may benefit aspects of language learning within each language.;0;1;2;1;23;;;;;;
This study compared bilingual and monolingual children’s performances in an artificial word-learning task and in a non-linguistic task that measures attention control.;1;2;-1;-1;23;;;;;;
Three-year-old monolingual and bilingual children with similar vocabulary development participated in these tasks.;1;2;-1;-1;23;;;;;;
The results replicate earlier work showing advanced attentional control among bilingual children and suggest that this better attentional control may also benefit better performance in novel adjective learning.;1;3;2;0;23;;;;;;
The findings provide the first direct evidence of a relation between performances in an artificial word-learning task and in an attentional control task.;0;3;2;1;23;;;;;;
We discuss this finding with respect to the general relevance of attentional control for lexical learning in all children and with respect to current views of bilingual children’s word learning.;1;3;-1;-1;23;;;;;;
Very few studies have examined the cognitive advantages of bilingualism during the first two years of development, and a majority of the studies examining bilingualism throughout the lifespan have focused on the relationship between multiple languages and cognitive control.;1;1;-1;-1;24;;;;;;
Early experience with multiple language systems may influence domain-general processes, such as memory, that may increase a bilingual child’s capacity for learning.;1;1;2;1;24;;;;;;
In the current study, we found that bilingual, but not monolingual, infants were able to generalize across cues at 18 months.;1;3;2;1;24;;;;;;
This is the first study to show a clear bilingual advantage in memory generalization, with more equal or balanced exposure to each language significantly predicting ability to generalize.;1;3;2;1;24;;;;;;
The decline of cognitive skills throughout healthy or pathological aging can be slowed down by experiences which foster cognitive reserve (CR).;0;1;-1;-1;25;;;;;;
Recently, some studies on Alzheimer's disease have suggested that CR may be enhanced by life-long bilingualism.;1;1;2;1;25;;;;;;
However, the evidence is inconsistent and largely based on retrospective approaches featuring several methodological weaknesses.;-1;1;0;1;25;;;;;;
Some studies demonstrated at least 4 years of delay in dementia symptoms, while others did not find such an effect.;0;1;0;1;25;;;;;;
Moreover, various methodological aspects vary from study to study.;-1;1;0;1;25;;;;;;
The present paper addresses contradictory findings, identifies possible lurking variables, and outlines methodological alternatives thereof.;-1;2;-1;-1;25;;;;;;
First, we characterize possible confounding factors that may have influenced extant results.;-1;2;-1;-1;25;;;;;;
Our focus is on the criteria to establish bilingualism, differences in sample design, the instruments used to examine cognitive skills, and the role of variables known to modulate life-long cognition.;1;2;-1;-1;25;;;;;;
Second, we propose that these limitations could be largely circumvented through experimental approaches.;-1;2;-1;-1;25;;;;;;
"Proficiency in the non-native language can be successfully assessed by combining subjective and objective measures; confounding variables which have been distinctively associated with certain bilingual groups (e.g., alcoholism, sleep disorders) can be targeted through relevant instruments; and cognitive status might be better tapped via robust cognitive screenings and executive batteries.";1;3;0;1;25;;;;;;
Moreover, future research should incorporate tasks yielding predictable patterns of contrastive performance between bilinguals and monolinguals.;1;3;-1;-1;25;;;;;;
Crucially, these include instruments which reveal bilingual disadvantages in vocabulary, null effects in working memory, and advantages in inhibitory control and other executive functions.;1;3;1;1;25;;;;;;
Finally, paradigms tapping proactive interference (which assess the disruptive effect of long-term memory on newly learned information) could also offer useful data, since this phenomenon seems to be better managed by bilinguals and it becomes conspicuous in early stages of dementia.;1;3;2;1;25;;;;;;
Such considerations may shed light not just on the relationship between bilingualism and CR, but also on more general mechanisms of cognitive compensation.;1;3;-1;-1;25;;;;;;
Advanced inhibitory control skills have been found in bilingual speakers as compared to monolingual controls (Bialystok, 1999).;1;1;2;1;26;;;;;;
We examined whether this effect is generalized to an unstudied language group (Spanish-English bilingual) and multiple measures of executive function by administering a battery of tasks to 50 kindergarten children drawn from three language groups: native bilinguals, monolinguals (English), and English speakers enrolled in secondlanguage immersion kindergarten.;1;2;-1;-1;26;;;;;;
Despite having significantly lower verbal scores and parent education/income level, Spanish-English bilingual children’s raw scores did not differ from their peers.;1;3;2;1;26;;;;;;
After statistically controlling for these factors and age, native bilingual children performed significantly better on the executive function battery than both other groups.;1;3;2;1;26;;;;;;
"Importantly, the relative advantage was significant for tasks that appear to call for managing conflicting attentional demands (Conflict tasks); there was no advantage on impulse-control (Delay tasks).";0;3;1;1;26;;;;;;
These results advance our understanding of both the generalizability and specificity of the compensatory effects of bilingual experience for children’s cognitive development.;1;3;1;1;26;;;;;;
A recent paper by Bialystok et al in Neuropsychologia (vol. 45, pgs. 459 to 464) suggested that early bilingualism produced a statistically significant 4.1-year delay in onset of memory loss symptoms in older individuals with Alzheimer disease, possibly reflecting an increase in the cognitive reserve of these individuals.;1;1;2;1;27;;;;;;
That study focused on multilingual elderly patients of whom 90% were immigrants.;1;2;-1;-1;27;;;;;;
Our memory clinic, in Montreal Canada, has the advantage of having a large set of individuals who are either multilingual immigrants to Canada, or who are nonimmigrants but raised in both official languages of Canada—French and English.;1;2;-1;-1;27;;;;;;
We thus attempted to replicate the above findings using a larger cohort in a different setting.;-1;2;-1;-1;27;;;;;;
We examined age at diagnosis of Alzheimer disease and age at symptom onset for all unilingual versus multilingual participants, and then for those who were nonimmigrant English/French bilinguals.;1;2;-1;-1;27;;;;;;
Overall, we found a small but significant protective effect of more than 2 languages spoken, but we found no significant benefit in bilinguals overall in relation to age at diagnosis or age at symptom onset.;1;3;1;1;27;;;;;;
However, in the immigrant group, the results mirrored those of Bialystok et al with 2 or more languages delaying the diagnosis of Alzheimer disease by almost 5 years.;0;3;2;1;27;;;;;;
