text;relevance_sentence;type;stance;argument;abstract_number;;;;;;;;;;;;;;;;;;;;;;
In one study, Mandarin speakers tended to think about time vertically even when they were thinking for English (Mandarin speakers were faster to confirm that March comes earlier than April if they had just seen a vertical array of objects than if they had just seen a horizontal array, and the reverse was true for English speakers).;0;1;2;1;5;;;;;;;;;;;;;;;;;;;;;;
Another study showed that the extent to which Mandarin–English bilinguals think about time vertically is related to how old they were when they first began to learn English.;0;1;2;1;5;;;;;;;;;;;;;;;;;;;;;;
In another experiment native English speakers were taught to talk about time using vertical spatial terms in a way similar to Mandarin.;-1;1;-1;-1;5;;;;;;;;;;;;;;;;;;;;;;
On a subsequent test, this group of English speakers showed the same bias to think about time vertically as was observed with Mandarin speakers.;-1;1;2;1;5;;;;;;;;;;;;;;;;;;;;;;
It is concluded that (1) language is a powerful tool in shaping thought about abstract domains and (2) one's native language plays an important role in shaping habitual thought (e.g., how one tends to think about time) but does not entirely determine one's thinking in the strong Whorfian sense.;1;3;2;1;5;;;;;;;;;;;;;;;;;;;;;;
The history of empirical research on the Sapir-Whorf hypothesis is reviewed.;1;2;-1;-1;6;;;;;;;;;;;;;;;;;;;;;;
A more sensitive test of the hypothesis is devised and a clear Whorfian effect is detected in the domain of color.;1;3;2;-1;6;;;;;;;;;;;;;;;;;;;;;;
A specific mechanism is proposed to account for this effect and a second experiment, designed to block the hypothesized mechanism, is performed.;-1;2;2;-1;6;;;;;;;;;;;;;;;;;;;;;;
The effect disappears as predicted.;-1;3;2;1;6;;;;;;;;;;;;;;;;;;;;;;
The Sapir-Whorf hypothesis is reevaluated in the light of these results.;1;3;1;-1;6;;;;;;;;;;;;;;;;;;;;;;
The linguistic relativity (Whorfian) hypothesis states that language influences thought.;1;1;-1;-1;7;;;;;;;;;;;;;;;;;;;;;;
In its strongest form, the hypothesis states that language controls both thought and perception.;1;1;-1;-1;7;;;;;;;;;;;;;;;;;;;;;;
Several experiments have shown that this is false.;-1;1;0;1;7;;;;;;;;;;;;;;;;;;;;;;
The weaker form of the hypothesis, which states that language influences thought, has been held to be so vague that it is unprovable.;1;1;1;1;7;;;;;;;;;;;;;;;;;;;;;;
The argument presented herein is that the weaker Whorfian hypothesis can be quantified and thus evaluated.;1;2;-1;-1;7;;;;;;;;;;;;;;;;;;;;;;
Models of cognition developed after Whorf's day indicate ways in which thought can be influenced by cultural variations in the lexical, syntactical, semantic, and pragmatic aspects of language.;1;3;2;1;7;;;;;;;;;;;;;;;;;;;;;;
Although much research remains to be done, there appears to be a great deal of truth to the linguistic relativity hypothesis.;1;3;2;1;7;;;;;;;;;;;;;;;;;;;;;;
In many ways the language people speak is a guide to the language in which they think.;1;3;2;1;7;;;;;;;;;;;;;;;;;;;;;;
The Sapir-Whorf hypothesis (a.k.a. the Whorfian hypothesis) concerns the relationship between language and thought.;1;1;-1;-1;8;;;;;;;;;;;;;;;;;;;;;;
Neither the anthropological linguist Edward Sapir (b. 1884–d. 1939) nor his student Benjamin Whorf (b. 1897–d. 1941) ever formally stated any single hypothesis about the influence of language on nonlinguistic cognition and perception.;1;1;-1;-1;8;;;;;;;;;;;;;;;;;;;;;;
On the basis of their writings, however, two proposals emerged, generating decades of controversy among anthropologists, linguists, philosophers, and psychologists.;-1;1;1;-1;8;;;;;;;;;;;;;;;;;;;;;;
According to the more radical proposal, linguistic determinism, the languages that people speak rigidly determine the way they perceive and understand the world.;1;1;-1;-1;8;;;;;;;;;;;;;;;;;;;;;;
On the more moderate proposal, linguistic relativity, habits of using language influence habits of thinking.;1;1;-1;-1;8;;;;;;;;;;;;;;;;;;;;;;
As a result, people who speak different languages think differently in predictable ways.;1;1;-1;-1;8;;;;;;;;;;;;;;;;;;;;;;
During the latter half of the 20th century, the Sapir-Whorf hypothesis was widely regarded as false.;1;1;0;-1;8;;;;;;;;;;;;;;;;;;;;;;
Around the turn of the 21st century, however, experimental evidence reopened debate about the extent to which language shapes nonlinguistic cognition and perception.;1;1;-1;-1;8;;;;;;;;;;;;;;;;;;;;;;
Scientific tests of linguistic determinism and linguistic relativity help to clarify what is universal in the human mind and what depends on the particulars of people’s physical and social experience.;1;3;-1;-1;8;;;;;;;;;;;;;;;;;;;;;;
The Sapir-Whorf hypothesis holds that human thought is shaped by language, leading speakers of different languages to think differently.;1;1;-1;-1;9;;;;;;;;;;;;;;;;;;;;;;
This hypothesis has sparked both enthusiasm and controversy, but despite its prominence it has only occasionally been addressed in computational terms.;0;1;-1;-1;9;;;;;;;;;;;;;;;;;;;;;;
Recent developments support a view of the Sapir-Whorf hypothesis in terms of probabilistic inference.;1;3;2;1;9;;;;;;;;;;;;;;;;;;;;;;
This view may resolve some of the controversy surrounding the Sapir-Whorf hypothesis, and may help to normalize the hypothesis by linking it to established principles that also explain other phenomena.;1;3;2;1;9;;;;;;;;;;;;;;;;;;;;;;
On this view, effects of language on nonlinguistic cognition or perception reflect standard principles of inference under uncertainty.;1;3;2;1;9;;;;;;;;;;;;;;;;;;;;;;
The Sapir-Whorf's Linguistic Relativity Hypothesis provokes intellectual discussion about the strong impact language has on our perception of the world around us.;1;1;1;-1;10;;;;;;;;;;;;;;;;;;;;;;
This paper intends to enliven the still open questions raised by this hypothesis.;-1;2;-1;-1;10;;;;;;;;;;;;;;;;;;;;;;
This is done by considering some of Sapir’s, Whorf’s, and other scholar’s works.;1;3;-1;-1;10;;;;;;;;;;;;;;;;;;;;;;
Interest in the Whorfian hypothesis—that the characteristics of a language have determining influences on cognitive processes—is increasing, not only among linguists and social anthropologists, but also among general semanticists, psychologists, social psychologists, and sociologists.;1;1;-1;-1;11;;;;;;;;;;;;;;;;;;;;;;
Here is an interesting attempt by a social psychologist to systematize some of the work in this problem area, by proposing a double dichotomy which gives rise to a discussion of the hypothesis at four levels.;-1;2;-1;-1;11;;;;;;;;;;;;;;;;;;;;;;
An emotional version of Sapir–Whorf hypothesis suggests that differences in language emotionalities influence differences among cultures no less than conceptual differences.;1;1;-1;-1;12;;;;;;;;;;;;;;;;;;;;;;
"Conceptual contents of languages and cultures to significant extent are determined by words and their semantic differences; these could be borrowed among languages and exchanged among cultures.";0;1;1;-1;12;;;;;;;;;;;;;;;;;;;;;;
Emotional differences, as suggested in the paper, are related to grammar and mostly cannot be borrowed.;0;1;1;-1;12;;;;;;;;;;;;;;;;;;;;;;
The paper considers conceptual and emotional mechanisms of language along with their role in the mind and cultural evolution.;1;2;-1;-1;12;;;;;;;;;;;;;;;;;;;;;;
Language evolution from primordial undifferentiated animal cries is discussed: while conceptual contents increase, emotional reduced.;1;3;-1;-1;12;;;;;;;;;;;;;;;;;;;;;;
Neural mechanisms of these processes are suggested as well as their mathematical models: the knowledge instinct, the dual model connecting language and cognition, neural modeling fields.;-1;2;-1;-1;12;;;;;;;;;;;;;;;;;;;;;;
Mathematical results are related to cognitive science, linguistics, and psychology.;-1;2;-1;-1;12;;;;;;;;;;;;;;;;;;;;;;
Experimental evidence and theoretical arguments are discussed.;-1;2;-1;-1;12;;;;;;;;;;;;;;;;;;;;;;
Dynamics of the hierarchy–heterarchy of human minds and cultures is formulated using mean-field approach and approximate equations are obtained.;-1;3;-1;-1;12;;;;;;;;;;;;;;;;;;;;;;
The knowledge instinct operating in the mind heterarchy leads to mechanisms of differentiation and synthesis determining ontological development and cultural evolution.;0;3;2;1;12;;;;;;;;;;;;;;;;;;;;;;
"These mathematical models identify three types of cultures: ”conceptual” pragmatic cultures in which emotionality of language is reduced and differentiation overtakes synthesis resulting in fast evolution at the price of uncertainty of values, self doubts, and internal crises; “traditional–emotional” cultures where differentiation lags behind synthesis, resulting in cultural stability at the price of stagnation; and “multi-cultural” societies combining fast cultural evolution and stability.";0;3;2;1;12;;;;;;;;;;;;;;;;;;;;;;
Unsolved problems and future theoretical and experimental directions are discussed.;-1;2;-1;-1;12;;;;;;;;;;;;;;;;;;;;;;
We report a cross-cultural study of the relationship between language and colour cognition that tests the linguistic relativity hypothesis.;1;2;-1;-1;13;;;;;;;;;;;;;;;;;;;;;;
We compared speakers of English, Russian and Setswana—languages with different numbers of ‘basic’ colour terms—on a colour grouping task in order to see whether choice of colour groups reflected the differences among the colour lexicons of the three languages.;0;2;-1;-1;13;;;;;;;;;;;;;;;;;;;;;;
Participants sorted a representative set of 65 colours into ‘N’ groups (where N ranged from 2 through to 12) based on their perceptual similarity.;-1;2;-1;-1;13;;;;;;;;;;;;;;;;;;;;;;
We assessed the similarities and differences among the choices of the three language samples, and focused in particular on two more specific questions.;-1;2;-1;-1;13;;;;;;;;;;;;;;;;;;;;;;
First, we tested the conjecture that levels of consensus over which tiles to group together should peak when N equalled the number of basic colour terms in the language.;0;2;-1;-1;13;;;;;;;;;;;;;;;;;;;;;;
Second, we focused on possible linguistic influences on colour grouping in the GREEN–BLUE region of colour space.;0;2;-1;-1;13;;;;;;;;;;;;;;;;;;;;;;
Setswana uses a single term for this region (botala), whereas English uses two terms (green and blue) and Russian uses three terms (Zelenyj ‘green’, sinij ‘dark blue’ and goluboj ‘light blue’).;-1;1;-1;-1;13;;;;;;;;;;;;;;;;;;;;;;
The most striking feature of the results was the marked similarity of the groups chosen across the three language samples. ;-1;3;2;1;13;;;;;;;;;;;;;;;;;;;;;;
In addition there were small but reliable differences in grouping associated with linguistic differences.;-1;3;2;1;13;;;;;;;;;;;;;;;;;;;;;;
Specifically, maximum levels of consensus occurred at lower values of N for Setswana speakers than for the other two languages, and they were more likely to group GREEN with BLUE than speakers of the other languages.;0;3;2;1;13;;;;;;;;;;;;;;;;;;;;;;
However, Russian speakers were no more likely than speakers of the other languages to form separate LIGHT BLUE and DARK BLUE groups.;0;3;0;1;13;;;;;;;;;;;;;;;;;;;;;;
The results are consistent with universal perceptual processes modulated at the margin by linguistic or cultural influences.;1;3;2;1;13;;;;;;;;;;;;;;;;;;;;;;
This article provides information on the varieties of variation, confirmation and disconfirmation, in relation to the Whorfian hypothesis.;1;2;-1;-1;14;;;;;;;;;;;;;;;;;;;;;;
In the mid 1930s U.S. anthropological linguist Benjamin Lee Whorf kindled widespread academic interest in the hypothesis that is an ancient one insofar as the history of ideas within the Euro-Mediterranean world is concerned.;1;1;-1;-1;14;;;;;;;;;;;;;;;;;;;;;;
The hypothesis claims that the differently structured languages of mankind lead their respective speakers to different views and experience of reality, of nature, and of life itself.;1;1;-1;-1;14;;;;;;;;;;;;;;;;;;;;;;
Although the hypothesis became a theme in such modern European intellectual and literary movements as romanticism, nationalism, the rise of modern anthropology and the birth of modern social psychology, it was Whorf who restated it in ways that made it intellectually exciting and testable for modern U.S. linguists, anthropologists, psychologists, general semanticists and others concerned with the centrality of language in human affairs.;1;1;-1;-1;14;;;;;;;;;;;;;;;;;;;;;;
The hypothesis has achieved the status of a legend of mankind, for instance, of a view that provides insights into the history of ideas more generally and that continues to be stimulating above and beyond its confirmability.;-1;1;-1;-1;14;;;;;;;;;;;;;;;;;;;;;;
Recent theoretical developments have redefined a Whorfian effect as a processing difference due to the language of the individual, and no longer as a marker for or against linguistic determinism.;1;1;2;1;14;;;;;;;;;;;;;;;;;;;;;;
Within this framework, Whorfian effects can be used to investigate whether a particular part of the cognitive system is penetrable by language processes or forms an encapsulated module, provided the experimenter ensures that the target language difference is not caused by peripheral input or output processes.;1;1;1;-1;14;;;;;;;;;;;;;;;;;;;;;;
In this article, we examine the possibility of a Whorfian effect in numerical cognition by making use of the fact that in the Dutch number naming system the order of tens and units is reversed (i.e. 24 is read `four-and-twenty').;1;2;-1;-1;14;;;;;;;;;;;;;;;;;;;;;;
In a first experiment, we asked native French- and Dutch-speaking students to name the solution of addition problems with a two-digit and a single-digit operand (e.g. The order of the operands was manipulated (20+4 vs. 20+4=?, 24+1=?, 4+20) as well as the presentation modality (Arabic vs. verbal).;0;2;-1;-1;14;;;;;;;;;;;;;;;;;;;;;;
Three language differences emerged from this study.;-1;3;2;1;14;;;;;;;;;;;;;;;;;;;;;;
Experiment 2, however, showed that these differences were all due to input or output processes rather than differences in the addition operation (i.e. the differences between Dutch and French disappeared when subjects were asked to type the answer rather than pronounce it).;0;3;0;1;14;;;;;;;;;;;;;;;;;;;;;;
On the basis of these findings, we question the idea that mathematical operations are based on verbal processes.;-1;3;0;1;14;;;;;;;;;;;;;;;;;;;;;;
This paper examines how sub-cultural respondents differ in their perceptions and answers to questionnaire items tapping their acculturation and ethnic identity.;0;2;2;-1;15;;;;;;;;;;;;;;;;;;;;;;
A related objective is to examine how bilingual respondents exposed to an instrument in the source language perceive it compared to subjects exposed to the instrument in their native language.;0;2;-1;-1;15;;;;;;;;;;;;;;;;;;;;;;
Prior studies find that respondents can answer differently according to the language of the questionnaire.;0;1;2;1;15;;;;;;;;;;;;;;;;;;;;;;
The framework is based on the Whorfian hypothesis and the Revised Hierarchical Model.;1;2;-1;-1;15;;;;;;;;;;;;;;;;;;;;;;
About 500 questionnaires are collected from Greek-Canadians residing in Eastern Canada.;-1;2;-1;-1;15;;;;;;;;;;;;;;;;;;;;;;
Findings indicate the presence of several non-invariant factor loadings and covariances, indicating that caution should be exercised when carrying out ethnic identity studies with respondents who are given the choice of the language of the questionnaire.;-1;3;0;1;15;;;;;;;;;;;;;;;;;;;;;;
Research on how differences between languages affect consumer information processing and cognitions can shed light on a new form of response style in cross-cultural research.;1;3;-1;-1;15;;;;;;;;;;;;;;;;;;;;;;
Bloom (1981) found that Chinese speakers were less likely than English speakers to give counterfactual interpretations to a counterfactual story.;0;1;2;1;31;;;;;;;;;;;;;;;;;;;;;;
These findings, together with the presence of a distinct counterfactual marker (the subjunctive) in English, but not in Chinese, were interpreted as evidence for the weak form of the Sapir-Whorf hypothesis.;1;1;2;1;31;;;;;;;;;;;;;;;;;;;;;;
A series of five studies was designed to replicate these findings, using both Chinese and English versions of a new counterfactual story as well as the story used by Bloom.;-1;2;-1;-1;31;;;;;;;;;;;;;;;;;;;;;;
In these studies, bilingual Chinese showed little difficulty in understanding either story in either language, insofar as the English and Chinese were idiomatic.;-1;3;0;1;31;;;;;;;;;;;;;;;;;;;;;;
For one story, the Chinese bilinguals performed better in Chinese than American subjects did in English.;-1;3;0;1;31;;;;;;;;;;;;;;;;;;;;;;
Nearly monolingual Chinese who did not know the English subjunctive also gave mostly counterfactual responses.;-1;3;0;1;31;;;;;;;;;;;;;;;;;;;;;;
These findings suggest that the mastery of the English subjunctive is probably quite tangential to counterfactual reasoning in Chinese.;0;3;0;1;31;;;;;;;;;;;;;;;;;;;;;;
In short, the present research yielded no support for the Sapir-Whorf hypothesis.;1;3;0;1;31;;;;;;;;;;;;;;;;;;;;;;
This article presents a historical overview of linguistic ideas in relation to the Sapir-Whorf Hypothesis.;1;2;-1;-1;16;;;;;;;;;;;;;;;;;;;;;;
The source of the hypothesis is found in the writings of Wilhelm von Humboldt, and further development is found in the writings of Heymann Steinthal, Franz Boas, Edward Sapir, Benjamin Lee Whorf, Carl Voegelin, and Dell Hymes, among others.;1;1;-1;-1;16;;;;;;;;;;;;;;;;;;;;;;
Humboldtian ideas have had a long-standing impact on American ethnolinguistics.;-1;1;-1;-1;16;;;;;;;;;;;;;;;;;;;;;;
The question of whether language affects perception has been debated largely on the basis of cross-language data, without considering the functional organization of the brain.;1;1;1;-1;17;;;;;;;;;;;;;;;;;;;;;;
The nature of this neural organization predicts that, if language affects perception, it should do so more in the right visual field than in the left visual field, an idea unexamined in the debate.;1;1;1;-1;17;;;;;;;;;;;;;;;;;;;;;;
Here, we find support for this proposal in lateralized color discrimination tasks.;-1;3;2;1;17;;;;;;;;;;;;;;;;;;;;;;
"Reaction times to targets in the right visual field were faster when the target and distractor colors had different names; in contrast, reaction times to targets in the left visual field were not affected by the names of the target and distractor colors.";0;3;2;1;17;;;;;;;;;;;;;;;;;;;;;;
Moreover, this pattern was disrupted when participants performed a secondary task that engaged verbal working memory but not a task making comparable demands on spatial working memory.;-1;3;2;1;17;;;;;;;;;;;;;;;;;;;;;;
It appears that people view the right (but not the left) half of their visual world through the lens of their native language, providing an unexpected resolution to the language-and-thought debate.;1;3;2;1;17;;;;;;;;;;;;;;;;;;;;;;
The Sapir-Whorf hypothesis holds that our thoughts are shaped by our native language, and that speakers of different languages therefore think differently.;1;1;-1;-1;27;;;;;;;;;;;;;;;;;;;;;;
This hypothesis is controversial in part because it appears to deny the possibility of a universal groundwork for human cognition, and in part because some findings taken to support it have not reliably replicated.;0;1;1;1;27;;;;;;;;;;;;;;;;;;;;;;
We argue that considering this hypothesis through the lens of probabilistic inference has the potential to resolve both issues, at least with respect to certain prominent findings in the domain of color cognition.;0;3;2;1;27;;;;;;;;;;;;;;;;;;;;;;
We explore a probabilistic model that is grounded in a presumed universal perceptual color space and in language-specific categories over that space.;0;2;-1;-1;27;;;;;;;;;;;;;;;;;;;;;;
The model predicts that categories will most clearly affect color memory when perceptual information is uncertain.;-1;3;2;1;27;;;;;;;;;;;;;;;;;;;;;;
In line with earlier studies, we show that this model accounts for language-consistent biases in color reconstruction from memory in English speakers, modulated by uncertainty.;0;3;2;1;27;;;;;;;;;;;;;;;;;;;;;;
We also show, to our knowledge for the first time, that such a model accounts for influential existing data on cross-language differences in color discrimination from memory, both within and across categories.;0;3;-1;-1;27;;;;;;;;;;;;;;;;;;;;;;
We suggest that these ideas may help to clarify the debate over the Sapir-Whorf hypothesis.;1;3;1;-1;27;;;;;;;;;;;;;;;;;;;;;;
The Whorfian hypothesis has received support from recent findings in psychology, linguistics, and anthropology.;1;1;2;1;18;;;;;;;;;;;;;;;;;;;;;;
This evidence has been interpreted as supporting the view that language modulates all stages of perception and cognition, in accordance with Whorf’s original proposal.;1;1;2;1;18;;;;;;;;;;;;;;;;;;;;;;
In light of a much broader body of evidence on time perception, I propose to evaluate these findings with respect to their scope.;-1;2;-1;-1;18;;;;;;;;;;;;;;;;;;;;;;
When assessed collectively, the entire body of evidence on time perception shows that the Whorfian hypothesis has a limited scope and that it does not affect early stages of time perception.;-1;3;1;1;18;;;;;;;;;;;;;;;;;;;;;;
In particular, all the available evidence shows that the scope of language modulation is limited in the case of time perception, and that the most important mechanisms for time perception are cognitive clocks and simultaneity windows, which we use to perceive the temporal properties of events.;1;3;1;1;18;;;;;;;;;;;;;;;;;;;;;;
Language modulation has distorting effects, but only at later stages of processing or with respect to specific categorization tasks.;0;3;1;1;18;;;;;;;;;;;;;;;;;;;;;;
The paper explains what is the role of these effects in the context of all the available evidence on time cognition and perception.;-1;3;-1;-1;18;;;;;;;;;;;;;;;;;;;;;;
We report a cross-cultural study of speakers of Setswana and of English carried out as a test of the linguistic relativity hypothesis (the Sapir-Whorf hypothesis).;1;2;-1;-1;19;;;;;;;;;;;;;;;;;;;;;;
These languages differ in their number of ‘basic’ colour terms-English has eleven and Setswana has five and in the position of some colour category boundaries.;0;1;-1;-1;19;;;;;;;;;;;;;;;;;;;;;;
Speakers of the two languages did a ‘triads’ task in which they chose which of three colours was least like the other two.;-1;2;-1;-1;19;;;;;;;;;;;;;;;;;;;;;;
There were two types of triad: ‘controls’, for which any linguistic influences should lead to the same choices, and ‘experimental’ groups.;-1;2;-1;-1;19;;;;;;;;;;;;;;;;;;;;;;
Thus the universalist position predicts that the choices of the two samples should be essentially the same for all triads, whereas the relativist position predicts that choice should be the same for the control triads, but differ for the experimental triads.;-1;1;-1;-1;19;;;;;;;;;;;;;;;;;;;;;;
The most striking feature of the results was that the choices made by the two samples were very similar for both kinds of triads, thus supporting universalism.;-1;3;0;1;19;;;;;;;;;;;;;;;;;;;;;;
But, there were also small but reliable differences associated with the linguistic differences, thus supporting Whorfianism.;1;3;2;1;19;;;;;;;;;;;;;;;;;;;;;;
Overall, it appears that there is a strong universal influence on colour choice but this universal influence can be moderated by cultural influences such as language, a position consistent with ‘weak Whorfianism ’.;1;3;2;1;19;;;;;;;;;;;;;;;;;;;;;;
The present research adopts a functional approach to examining the effects of language use on personality perception and dialectical thinking.;1;2;-1;-1;20;;;;;;;;;;;;;;;;;;;;;;
We propose that language use activates corresponding cultural mindsets, which in turn influence social perception, thinking, and behavior.;1;3;2;1;20;;;;;;;;;;;;;;;;;;;;;;
Whether language shapes cognition has long been a controversial issue.;1;1;1;-1;20;;;;;;;;;;;;;;;;;;;;;;
Four studies recruited Chinese-English bilinguals (N = 129 in Study 1, 229 in Study 2, 68 in Study 3, 106 in Study 4) and used within-subjects and between-subjects design, written and behavioral reports, and self- and other perceptions.;-1;2;-1;-1;20;;;;;;;;;;;;;;;;;;;;;;
The four studies converged to show that Chinese-English bilinguals exhibit higher dialectical thinking and more variations in self- and observer ratings of personality when using the Chinese language than when using English.;0;3;2;1;20;;;;;;;;;;;;;;;;;;;;;;
Furthermore, dialectical thinking predicted more self- and other-perceived variations in personality and behavior across bilingual contexts.;0;1;2;1;20;;;;;;;;;;;;;;;;;;;;;;
These results highlight the important role of culture in understanding the relations between language and cognition, and attest to the malleability of personality perception and dialectical thinking within and across individuals in response to culture-related linguistic cues.;1;3;2;1;20;;;;;;;;;;;;;;;;;;;;;;
Economists have sometimes adopted a ‘Whorfian’ view that differences in languages can cause differences in how their speakers think and behave.;1;1;2;1;21;;;;;;;;;;;;;;;;;;;;;;
Psychological experiments have shown both support for this hypothesis and evidence against it.;-1;1;1;1;21;;;;;;;;;;;;;;;;;;;;;;
Specific arguments that language causes thought, which have been made in recent economics papers, are examined in the light of what linguistics tells us about superficial and underlying variation.;0;2;-1;-1;21;;;;;;;;;;;;;;;;;;;;;;
In the translation part of this study, 22 Japanese short stories were translated into English by native speakers of English and 20 English short stories were translated into Japanese by Japanese.;-1;2;-1;-1;22;;;;;;;;;;;;;;;;;;;;;;
The passive passages in the Japanese version were classified into either adversative or non-adversative passive.;-1;2;-1;-1;22;;;;;;;;;;;;;;;;;;;;;;
They were then compared with the corresponding passages in English to determine equivalence of translation.;-1;2;-1;-1;22;;;;;;;;;;;;;;;;;;;;;;
Distortion in translation was found to be in the direction of the translator's way of perceiving things in terms of his first language.;0;3;2;1;22;;;;;;;;;;;;;;;;;;;;;;
The perception study compared the perception of Japanese with that of Americans by using stick figure cartoons depicting interpersonal conflict situations with negative outcomes.;-1;2;-1;-1;22;;;;;;;;;;;;;;;;;;;;;;
As hypothesized, Japanese were found to have a greater tendency than Americans to attribute responsibility to others.;-1;3;2;1;22;;;;;;;;;;;;;;;;;;;;;;
In order to separate the role of language from other crucial cultural factors in the perception of interpersonal events, 20 monolingual (English-speaking) Americans of Japanese ancestory and 90 Germans in Berlin were also tested.;0;2;-1;-1;22;;;;;;;;;;;;;;;;;;;;;;
