text;ug_relevance_sentence;ug_type;ug_stance;ug_arg;ug_absract_number;;;;;;;;;;;;;;;
In the present reply, we review and further explicate our original position, to wit: A large part of any generative grammar is a formal statement of the complex alignments between predicate-argument structures and the surface forms (linear strings of words) of sentences.;1;3;2;1;3;;;;;;;;;;;;;;;
Because the several rules for alignment interact, the surface outcomes reveal individual systematicities only abstractly.;-1;3;2;1;3;;;;;;;;;;;;;;;
Therefore, learning would be impossible if infants could not analyze probabilistically available patterns to recover their principled linguistic sources.;0;3;1;1;3;;;;;;;;;;;;;;;
This statistics-based discovery procedure is in certain relevant regards specific to language learning.;0;3;2;1;3;;;;;;;;;;;;;;;
Finally, we argue that while pragmatics and theory of mind properties in learner and tutor necessarily frame language acquisition, that these have not been shown—and probably cannot be shown—to be sufficient to this computational problem.;0;3;2;1;3;;;;;;;;;;;;;;;
Universal grammar specifies the mechanism of language acquisition.;1;1;2;1;4;;;;;;;;;;;;;;;
It determines the range of grammatical hypothesis that children entertain during language learning and the procedure they use for evaluating input sentences.;0;1;2;1;4;;;;;;;;;;;;;;;
How universal grammar arose is a major challenge for evolutionary biology.;1;1;1;1;4;;;;;;;;;;;;;;;
We present a mathematical framework for the evolutionary dynamics of grammar learning.;0;2;-1;-1;4;;;;;;;;;;;;;;;
The central result is a coherence threshold, which specifies the condition for a universal grammar to induce coherent communication within a population.;1;3;2;1;4;;;;;;;;;;;;;;;
We study selection of grammars within the same universal grammar and competition between different universal grammars.;1;2;2;-1;4;;;;;;;;;;;;;;;
We calculate the condition under which natural selection favors the emergence of rule-based, generative grammars that underlie complex language.;1;2;2;1;4;;;;;;;;;;;;;;;
Studies under the heading “syntactic bootstrapping” have demonstrated that syntax guides young children’s interpretations during verb learning.;-1;1;-1;-1;5;;;;;;;;;;;;;;;
We evaluate two hypotheses concerning the origins of syntactic bootstrapping effects.;-1;2;-1;-1;5;;;;;;;;;;;;;;;
The “universalist” view, holding that syntactic bootstrapping falls out from universal properties of the syntax–semantics mapping, is shown to be superior to the “emergentist” view, which holds that argument structure patterns emerge from a process of categorization and generalization over the input.;0;1;2;1;5;;;;;;;;;;;;;;;
These theories diverge in their predictions about a language in which syntactic structure is not the most reliable cue to a certain meaning.;-1;1;-1;-1;5;;;;;;;;;;;;;;;
In Kannada, causative morphology is a better predictor of causative meaning than transitivity is.;-1;1;-1;-1;5;;;;;;;;;;;;;;;
Hence, the emergentist view predicts that Kannada-speaking children will associate causative morphology (in favor of transitive syntax) with causative meaning.;-1;3;-1;-1;5;;;;;;;;;;;;;;;
The universalist theory, however, predicts the opposite pattern.;0;3;-1;-1;5;;;;;;;;;;;;;;;
Using an act-out task, we found that 3-year-old native speakers of Kannada associate argument number and not morphological form with causativity, supporting the universalist approach.;0;3;2;1;5;;;;;;;;;;;;;;;
The authors performed an experiment involving the Dravidian language, Kannada, based on the methodology of Naigles, Gleitman, and Gleitman.;-1;1;-1;-1;6;;;;;;;;;;;;;;;
They presented to children familiar verbs in familiar and unfamiliar contexts.;-1;1;-1;-1;6;;;;;;;;;;;;;;;
The authors observe that in Kannada, the causative morpheme is reliably associated with a causative interpretation.;-1;1;2;1;6;;;;;;;;;;;;;;;
They further note that the transitive construction involving the overt expression of two arguments is associated with a wider range of interpretations than causation.;-1;1;-1;-1;6;;;;;;;;;;;;;;;
"They suggest that any"" emergentist"" theory that claims that argument structure is learned from the input, would predict that subjects should rely more on the causative morpheme as a predictor of a causative interpretation than the number of semantic participants expressed.";-1;1;2;1;6;;;;;;;;;;;;;;;
The current study focuses not on the mapping of semantic roles to particular syntactic positions or relations, but simply on the number of linguistically expressed participants.;-1;2;-1;-1;6;;;;;;;;;;;;;;;
As we have seen, a pragmatic explanation for their findings is at least as plausible as one based on a Universal Grammar Hypothesis.;1;3;1;1;6;;;;;;;;;;;;;;;
In our opinion, the discontinuity between extant human and nonhuman minds is much broader and deeper than most researchers admit.;-1;3;-1;-1;7;;;;;;;;;;;;;;;
We are happy to report that Evans & Levinson's (E&L's) target article strongly corroborates our unpopular hypothesis, and that the comparative evidence, in turn, bolsters E&L's provocative argument.;-1;1;0;1;7;;;;;;;;;;;;;;;
Both a Universal Grammar and the “mental continuity” between human and nonhuman minds turn out to be modern myths.;1;3;0;-1;7;;;;;;;;;;;;;;;
In this paper I consider recent studies that deny the existence of Universal Grammar (UG), and I show how the concept of UG that is attacked in these works is quite different from Chomsky’s, and thus that such criticisms are not valid.;1;2;1;1;8;;;;;;;;;;;;;;;
My principal focus is on the notions of ‘linguistic specificity’ and of ‘innateness’, and I conclude that, since the controversy about UG is based on misinterpretations, it is rendered sterile and thus does unnecessary harm to linguistic science.;1;3;1;-1;8;;;;;;;;;;;;;;;
I also address the underlying reasons for these misunderstandings and suggest that, once they have been clarified, there is much scope for complementary approaches that embrace different research traditions within current theoretical linguistics.;-1;3;-1;-1;8;;;;;;;;;;;;;;;
This paper argues against the hypothesis of a “phonological mind” advanced by Berent.;-1;3;0;-1;9;;;;;;;;;;;;;;;
It establishes that there is no evidence that phonology is innate and that, in fact, the simplest hypothesis seems to be that phonology is learned like other human abilities.;0;3;0;1;9;;;;;;;;;;;;;;;
Moreover, the paper fleshes out the original claim of Philip Lieberman that Universal Grammar predicts that not everyone should be able to learn every language, i.e., the opposite of what UG is normally thought to predict.;1;3;0;-1;9;;;;;;;;;;;;;;;
The paper also underscores the problem that the absence of recursion in Pirah? represents for Universal Grammar proposals.;1;3;0;1;9;;;;;;;;;;;;;;;
Humans weave phonological patterns instinctively.;0;1;2;1;10;;;;;;;;;;;;;;;
We form phonological patterns at birth, we spontaneously generate them de novo, and we impose phonological design on both our linguistic communication and cultural technologies—reading and writing.;0;1;2;1;10;;;;;;;;;;;;;;;
Why are humans compelled to generate phonological patterns?;0;2;2;-1;10;;;;;;;;;;;;;;;
Why are phonological patterns intimately grounded in their sensorimotor channels (speech or gesture) while remaining partly amodal and fully productive?;-1;2;2;1;10;;;;;;;;;;;;;;;
And why does phonology shape natural communication and cultural inventions alike?;-1;2;-1;-1;10;;;;;;;;;;;;;;;
Here, I suggest these properties emanate from the architecture of the phonological mind, an algebraic system of core knowledge.;-1;3;2;1;10;;;;;;;;;;;;;;;
I evaluate this hypothesis in light of linguistic evidence, behavioral studies, and comparative animal research that gauges the design of the phonological mind and its productivity.;-1;2;-1;-1;10;;;;;;;;;;;;;;;
Everett (2016b) criticizes The Phonological Mind thesis (Berent, 2013a,b) on logical, methodological and empirical grounds.;-1;1;0;1;11;;;;;;;;;;;;;;;
Most of Everett’s concerns are directed toward the hypothesis that the phonological grammar is constrained by universal grammatical (UG) principles.;1;1;1;1;11;;;;;;;;;;;;;;;
Contrary to Everett’s logical challenges, here I show that the UG hypothesis is readily falsifiable, that universality is not inconsistent with innateness (Everett’s arguments to the contrary are rooted in a basic confusion of the UG phenotype and the genotype), and that its empirical evaluation does not require a full evolutionary account of language.;1;3;2;1;11;;;;;;;;;;;;;;;
A detailed analysis of one case study, the syllable hierarchy, presents a specific demonstration that people have knowledge of putatively universal principles that are unattested in their language and these principles are most likely linguistic in nature.;0;3;2;1;11;;;;;;;;;;;;;;;
Whether Universal Grammar exists remains unknown, but Everett’s arguments hardly undermine the viability of this hypothesis.;1;3;1;1;11;;;;;;;;;;;;;;;
In this article, the motivation for Universal Grammar (UG), as assumed in the principles and parameters framework of generative grammar (Chomsky, 1981a, 1981b), is discussed, particular attention being paid to the logical problem of first language acquisition.;1;2;2;-1;12;;;;;;;;;;;;;;;
The potential role of UG in second language (L2) acquisition is then considered.;1;2;1;-1;12;;;;;;;;;;;;;;;
"Three different positions are reviewed: (a) the claim that UG is not available to L2 learners; (b) the claim that UG is fully available; and (c) the claim that the L2 learner's access to UG is mediated by the mother tongue.";1;2;2;1;12;;;;;;;;;;;;;;;
This raises the issue of what kind of evidence can be used to decide between these three positions.;-1;2;-1;-1;12;;;;;;;;;;;;;;;
Recent experimental research which argues for one or another of these positions by investigating the L2 status of the Subjacency Principle is reviewed, and the implications of this research are discussed.;0;3;-1;-1;12;;;;;;;;;;;;;;;
A new solution is offered to the Infant Language Acquisition Problem, rejecting both of Chomsky’s alternatives.;0;2;0;-1;13;;;;;;;;;;;;;;;
It proposes that the infant does not acquire his mother tongue by mastering its grammar, whether by inference from personal experience or via an innate Language Acquisition Device such as the UG, but that the language he hears is all saved in his extremely plastic and capacious brain, where it is stored in such a way as to organize it while populating it.;1;3;0;1;13;;;;;;;;;;;;;;;
The brain is thus transformed into a mind by language.;-1;3;-1;-1;13;;;;;;;;;;;;;;;
Support for this theory is drawn from such topics as feral children and linguistic experiments with bonobos.;-1;1;0;1;13;;;;;;;;;;;;;;;
This paper offers a refutation of Chomsky's Universal Grammar (UG) from a novel perspective.;1;2;0;-1;14;;;;;;;;;;;;;;;
It comprises a central part, clarifications and comparisons.;-1;2;-1;-1;14;;;;;;;;;;;;;;;
The central part starts with an examination of Chomsky's research method and then argues that the method is seriously flawed and that it cannot lead to the discovery of any innate universals of language.;0;3;0;1;14;;;;;;;;;;;;;;;
In the clarifications part, a number of questions that could be raised concerning the central part of the refutation are presented and answered.;-1;2;-1;-1;14;;;;;;;;;;;;;;;
The answers to these questions help to make clearer why UG is deeply problematic, and thus consolidate the central part of the refutation.;1;3;0;-1;14;;;;;;;;;;;;;;;
The comparisons part discusses some representative critiques of UG by other scholars, shows their inadequacies, and thus further highlights the value of the present critique.;1;2;0;-1;14;;;;;;;;;;;;;;;
Lin (2017) aims to provide a refutation of universal grammar on methodological grounds, claiming that the method itself makes it impossible to discover any innate linguistic universals.;1;1;0;1;15;;;;;;;;;;;;;;;
In this paper, I show that this claim is overstated and that upon closer inspection, it merely points out the inductive nature of the empirical sciences.;-1;3;-1;-1;15;;;;;;;;;;;;;;;
Assuming that the empirical sciences are not invalidated on methodological grounds by Lin's arguments, neither is the search for universal grammar.;1;3;-1;-1;15;;;;;;;;;;;;;;;
The biolinguistic perspective regards the language faculty as an “organ of the body,” along with other cognitive systems.;0;1;2;1;16;;;;;;;;;;;;;;;
Adopting it, we expect to find three factors that interact to determine (I-) languages attained: genetic endowment (the topic of Universal Grammar), experience, and principles that are language- or even organism-independent.;1;2;2;1;16;;;;;;;;;;;;;;;
Research has naturally focused on I-languages and UG, the problems of descriptive and explanatory adequacy.;1;2;-1;-1;16;;;;;;;;;;;;;;;
The Principles-and-Parameters approach opened the possibility for serious investigation of the third factor, and the attempt to account for properties of language in terms of general considerations of computational efficiency, eliminating some of the technology postulated as specific to language and providing more principled explanation of linguistic phenomena;0;3;2;1;16;;;;;;;;;;;;;;;
In many different domains of language acquisition, there exists an apparent learnability problem to which innate knowledge of some aspect of Universal Grammar (UG) has been proposed as a solution.;1;1;2;1;17;;;;;;;;;;;;;;;
The present article reviews these proposals in the core domains of (i) identifying syntactic categories, (ii) acquiring basic morphosyntax, (iii) structure dependence, (iv) subjacency, and (v) the binding principles.;0;2;-1;-1;17;;;;;;;;;;;;;;;
We conclude that, in each of these domains, the innate UG-specified knowledge posited does not, in fact, simplify the task facing the learner.;1;3;0;1;17;;;;;;;;;;;;;;;
A central goal of modern generative grammar has been to discover invariant properties of human languages that reflect “the innate schematism of mind that is applied to the data of experience” and that “might reasonably be attributed to the organism itself as its contribution to the task of the acquisition of knowledge” (Chomsky, 1971).;1;1;2;1;18;;;;;;;;;;;;;;;
Candidates for such invariances include the structure dependence of grammatical rules, and in particular, certain constraints on question formation.;-1;1;2;1;18;;;;;;;;;;;;;;;
Various “poverty of stimulus” (POS) arguments suggest that these invariances reflect an innate human endowment, as opposed to common experience: Such experience warrants selection of the grammars acquired only if humans assume, a priori, that selectable grammars respect substantive constraints.;0;1;2;1;18;;;;;;;;;;;;;;;
Recently, several researchers have tried to rebut these POS arguments.;-1;1;0;1;18;;;;;;;;;;;;;;;
In response, we illustrate why POS arguments remain an important source of support for appeal to a priori structure?dependent constraints on the grammars that humans naturally acquire.;0;3;2;1;18;;;;;;;;;;;;;;;
Generative Linguistics proposes that the human ability to produce and comprehend language is fundamentally underwritten by a uniquely linguistic innate system called Universal Grammar (UG).;1;1;2;-1;19;;;;;;;;;;;;;;;
In her recent paper What is Universal Grammar, and has anyone seen it? Ewa Dabrowska reviews a range of evidence and argues against the idea of UG from a Cognitive Linguistics perspective.;1;1;0;1;19;;;;;;;;;;;;;;;
In the current paper, I take each of Dabrowska’s arguments in turn and attempt to show why they are not well founded, either because of flaws in her argumentation or because of a careful consideration of the available empirical evidence.;-1;3;2;1;19;;;;;;;;;;;;;;;
I also attempt to demonstrate how evidence from the fields Dabrowska reviews actually supports the notion of UG.;1;3;2;1;19;;;;;;;;;;;;;;;
However, arguments are additionally presented in favor of integrating an understanding of domain-specific UG with an understanding of domain-general cognitive capacities in order to understand the language faculty completely.;1;3;2;1;19;;;;;;;;;;;;;;;
Syntax, together with morphology, constitutes one of the two core components of grammatical theory.;-1;1;-1;-1;20;;;;;;;;;;;;;;;
While morphology explores the internal structure of words and the way morphemes combine to form lexical items, syntax focuses on how words are organized into larger hierarchical units such as phrases and sentences.;-1;1;-1;-1;20;;;;;;;;;;;;;;;
This paper provides an overview of key perspectives on the study of grammar and situates the discussion within Chomsky’s framework of Universal Grammar, which posits that all human languages share underlying structural principles.;1;2;2;-1;20;;;;;;;;;;;;;;;
Within this theoretical foundation, the study aims to highlight how syntactic analysis reveals both the universal and language-specific aspects of grammatical organization.;0;2;2;1;20;;;;;;;;;;;;;;;
Our response takes advantage of the wide-ranging commentary to clarify some aspects of our original proposal and augment others.;-1;2;-1;-1;21;;;;;;;;;;;;;;;
We argue against the generative critics of our coevolutionary program for the language sciences, defend the use of close-to-surface models as minimizing cross-linguistic data distortion, and stress the growing role of stochastic simulations in making generalized historical accounts testable.;0;3;0;1;21;;;;;;;;;;;;;;;
These methods lead the search for general principles away from idealized representations and towards selective processes.;-1;3;0;1;21;;;;;;;;;;;;;;;
Putting cultural evolution central in understanding language diversity makes learning fundamental in the cognition of language: increasingly powerful models of general learning, paired with channelled caregiver input, seem set to manage language acquisition without recourse to any innate “universal grammar.”;1;3;0;1;21;;;;;;;;;;;;;;;
Understanding why human language has no clear parallels in the animal world requires a cross-species perspective: crucial ingredients are vocal learning (for which there are clear non-primate parallels) and an intention-attributing cognitive infrastructure that provides a universal base for language evolution.;0;3;0;1;21;;;;;;;;;;;;;;;
We conclude by situating linguistic diversity within a broader trend towards understanding human cognition through the study of variation in, for example, human genetics, neurocognition, and psycholinguistic processing.;0;2;0;1;21;;;;;;;;;;;;;;;
Kim (2018) argues that the method adopted in universal grammar (UG) is the same as that employed in the empirical sciences such as physics, chemistry and biology, and that my rejection of UG in Lin (2017a) amounts to a rejection of these sciences.;1;1;1;1;22;;;;;;;;;;;;;;;
In this reply I show that Kim has misunderstood the main point of my original paper, which is that UG is crucially different from typical scientific theories in that it does not consider causal factors.;1;3;0;1;22;;;;;;;;;;;;;;;
I further show that once this misunderstanding is cleared his objections can be dissolved smoothly, that the fatal problem with UG will become more evident, and that the methodological confusions embedded in Kim's arguments will be dispelled.;1;3;0;1;22;;;;;;;;;;;;;;;
This article reviews several recent studies suggesting that — contrary to a widespread belief — adult monolingual native speakers of the same language do not share the same mental grammar.;0;3;0;1;23;;;;;;;;;;;;;;;
The studies examined various aspects of linguistic knowledge, including inflectional morphology, passives, quantifiers, and more complex constructions with subordinate clauses.;-1;1;-1;-1;23;;;;;;;;;;;;;;;
"The findings suggest that, in some cases, language learners attend to different cues in the input and end up with different grammars; in others, some speakers extract only fairly specific, ‘local’ generalizations which apply to particular subclasses of items while others acquire more abstract rules which apply ‘across the board’.";0;1;0;1;23;;;;;;;;;;;;;;;
At least some of these differences are education-related: more educated speakers appear to acquire more general rules, possibly as a result of more varied linguistic experience.;0;1;0;1;23;;;;;;;;;;;;;;;
These findings have interesting consequences for research on bilingualism, particularly for research on ultimate attainment in second language acquisition, as well as important methodological implications for all language sciences.;0;3;-1;-1;23;;;;;;;;;;;;;;;
Issues concerning UG access for L2 acquisition as formulated by Epstein et al. are misleading as well as poorly discussed.;1;3;1;1;24;;;;;;;;;;;;;;;
UG accessibility can only be fully evaluated with respect to the steady state grammar reached by the learner.;1;3;1;1;24;;;;;;;;;;;;;;;
The steady state for LI learners is self evidently the adult grammar in the speech community.;0;1;-1;-1;24;;;;;;;;;;;;;;;
For L2 learners, however, the steady state is not obvious.;-1;3;-1;-1;24;;;;;;;;;;;;;;;
Yet, without its clear characterization, debates concerning stages of L2 acquisition and direct and indirect UG accessibility cannot be resolved.;1;3;1;1;24;;;;;;;;;;;;;;;
A central goal of modern generative grammar has been to discover the invariant properties of language, presumably “part of the innate schematism of mind that is applied to the data of experience” and that “might reasonably be attributed to the organism itself as its contribution to the task of the acquisition of knowledge”(Chomsky, 1971).;1;1;2;-1;25;;;;;;;;;;;;;;;
One such putative principle is the structure dependence of grammatical rules generally, including rules of question formation.;-1;1;2;1;25;;;;;;;;;;;;;;;
One argument for this position, presented in Chomsky (1968), is sometimes called an ‘argument from the poverty of the stimulus’(POS) since the sample data for selecting a correct target hypothesis does not seem rich enough without positing a priori the principle in question.;-1;1;2;1;25;;;;;;;;;;;;;;;
Recently, several researchers have claimed that this POS argument can be deflected without resort to this ‘innate schematism,’among these a string substitutability procedure (Clark & Eyraud, 2006), or a Bayesian model selection algorithm that adjudicates between regular and context-free grammars (Perfors, Tennenbaum & Regier, 2006).;0;1;0;1;25;;;;;;;;;;;;;;;
We demonstrate that all these recent arguments fail.;-1;3;2;1;25;;;;;;;;;;;;;;;
We conclude that the POS argument and its support for a priori structure dependence holds, without qualification.;-1;3;2;1;25;;;;;;;;;;;;;;;
Child and adult speakers of English have different ideas of what `or' means in ordinary statements of the form `A or B'.;-1;1;-1;-1;26;;;;;;;;;;;;;;;
Even more far-reaching differences between children and adults are found in other languages.;-1;1;-1;-1;26;;;;;;;;;;;;;;;
This tells us that young children do not learn what `or' means by watching how adults use `or'.;0;3;2;1;26;;;;;;;;;;;;;;;
An alternative is to suppose that children draw upon a priori knowledge of the meaning of `or'.;-1;3;2;1;26;;;;;;;;;;;;;;;
This conclusion is reinforced by the observation that all languages adopt the same meaning of `or' in certain structures.;-1;1;2;1;26;;;;;;;;;;;;;;;
For example, statements of the form `not S[A or B]' have the same meanings in all languages, and disjunctive statements receive a uniform interpretation in sentences that contain certain focus expressions, such as English `only'.;-1;1;2;1;26;;;;;;;;;;;;;;;
These observations are relevant for the long-standing “nature versus nurture” controversy.;-1;1;1;-1;26;;;;;;;;;;;;;;;
A linguistic property that (a) emerges in child language without decisive evidence from experience, and (b) is common to all human languages, is a likely candidate for innate specification.;0;3;2;1;26;;;;;;;;;;;;;;;
Experience matters, of course.;-1;3;-1;-1;26;;;;;;;;;;;;;;;
As child speakers grow up, they eventually learn to use `or' in the same way as adults do.;-1;1;-1;-1;26;;;;;;;;;;;;;;;
But, based on findings from child language and cross-linguistic research, it looks like certain aspects of language, including the interpretation of disjunction, are part of the human genome.;-1;3;2;1;26;;;;;;;;;;;;;;;
The fact that languages are different is a remarkable and interesting phenomenon in itself.;-1;1;-1;-1;27;;;;;;;;;;;;;;;
The study of such diversity affords a valuable perspective on the human faculty of language, but it is not an argument to deny its existence.;0;3;2;-1;27;;;;;;;;;;;;;;;
Evans and Levinson (in ‘The Myth of Language Universals’) do indeed believe that the existence of Universal Grammar is a myth that Chomskyan linguists have injected into cognitive science, something that constitutes an obstacle to the scientific investigation of language.;1;1;0;-1;27;;;;;;;;;;;;;;;
They react against Chomskyan universalism arguing that it distorts the reality of language, compromising realistic and meaningful research within cognitive science.;0;1;0;1;27;;;;;;;;;;;;;;;
In the following pages I show that, on the contrary, it is the exaggerated assessment of the depth of the diversity of languages that constitutes an obstacle to the ultimate acceptance of the study of language into the natural sciences.;-1;3;-1;-1;27;;;;;;;;;;;;;;;
Disdain of the diversity of languages can certainly be an obstacle to progress in our understanding of how the brain creates and uses language, but Evans & Levinson’s rejection of universality ignores important discoveries about common properties of language made over the past half century and risks throwing the baby with the bath water.;0;3;2;1;27;;;;;;;;;;;;;;;
One far-reaching goal of linguistic theory is to determine universal principles which hold for the structures of all human languages.;0;1;2;-1;28;;;;;;;;;;;;;;;
Such principles are proposed as part of a system of UNIVERSAL GRAMMAR (UG), which is claimed to be part of the biological endowment for all human beings.;1;1;2;-1;28;;;;;;;;;;;;;;;
Thus, these principles must be general and abstract enough so that a child learning his or her native language — whatever that language might be — will unconsciously use them, along with the primary language input data, to guide the formation of a grammar for his or her own particular language.;0;1;2;1;28;;;;;;;;;;;;;;;
Since there is great variety in the form of the world’s languages, it has been proposed that the universal principles are supplemented by language-particular parameters, which allow for a limited and specific set of options within the confines of the universal principles (e.g., Chomsky 1981, Hornstein and Lightfoot 1981, Lightfoot 1982, Newmeyer 1983, Roeper and Williams 1987).;0;1;2;1;28;;;;;;;;;;;;;;;
Linguistic research has identified abstract properties that seem to be shared by all languages—such properties may be considered defining characteristics.;-1;1;2;1;29;;;;;;;;;;;;;;;
In recent decades, the recognition that human language is found not only in the spoken modality but also in the form of sign languages has led to a reconsideration of some of these potential linguistic universals.;0;1;1;1;29;;;;;;;;;;;;;;;
In large part, the linguistic analysis of sign languages has led to the conclusion that universal characteristics of language can be stated at an abstract enough level to include languages in both spoken and signed modalities.;0;1;2;1;29;;;;;;;;;;;;;;;
For example, languages in both modalities display hierarchical structure at sub-lexical and phrasal level, and recursive rule application.;-1;1;2;1;29;;;;;;;;;;;;;;;
However, this does not mean that modality-based differences between signed and spoken languages are trivial.;-1;3;-1;-1;29;;;;;;;;;;;;;;;
In this article, we consider several candidate domains for modality effects, in light of the overarching question: are signed and spoken languages subject to the same abstract grammatical constraints, or is a substantially different conception of grammar needed for the sign language case?;-1;2;1;-1;29;;;;;;;;;;;;;;;
We look at differences between language types based on the use of space, iconicity, and the possibility for simultaneity in linguistic expression.;-1;2;-1;-1;29;;;;;;;;;;;;;;;
The inclusion of sign languages does support some broadening of the conception of human language—in ways that are applicable for spoken languages as well.;-1;3;-1;-1;29;;;;;;;;;;;;;;;
Still, the overall conclusion is that one grammar applies for human language, no matter the modality of expression.;0;3;2;1;29;;;;;;;;;;;;;;;
The target article advanced the null, unified and widely misinterpreted generative hypothesis regarding second language (L2) acquisition.;0;1;-1;-1;30;;;;;;;;;;;;;;;
"Postulating that UG (Universal Grammar) constrains L2 knowledge growth does not entail identical developmental trajectories for L2 and first language (LI) acquisition; nor does it preclude a role for the L1.";1;3;-1;-1;30;;;;;;;;;;;;;;;
In embracing this hypothesis, we maintain a distinction between competence and performance.;-1;3;-1;-1;30;;;;;;;;;;;;;;;
Those who conflate the two repeat fundamental and by no means unprecedented misconstruals of the generative enterprise, and more specifically, of the empirical content of the null hypothesis regarding L2 linguistic knowledge growth.;0;3;-1;-1;30;;;;;;;;;;;;;;;
We hope to have identified certain common goals, the adoption of which might constitute a firm foundation for continued productive interdisciplinary development of contemporary theoretical and experimental L2 acquisition research.;-1;3;-1;-1;30;;;;;;;;;;;;;;;
"Ambridge, Pine, and Lieven (2014; AP&L) identify three problems with universal grammar (UG), namely: linking, data coverage, and redundancy, and argue for an alternative approach to child language acquisition.";1;1;0;1;31;;;;;;;;;;;;;;;
Behme (2014) aims to make a stronger case against UG.;1;1;0;-1;31;;;;;;;;;;;;;;;
She attempts to show, by combining AP&L's arguments with evidence from developmental psychology and formal linguistics, that UG should be rejected.;1;1;0;1;31;;;;;;;;;;;;;;;
In this commentary, I argue that Behme's article does not present strong enough evidence to reject UG.;1;3;1;-1;31;;;;;;;;;;;;;;;
Although Behme has pointed out some problems for UG theorists to consider, she fails to pinpoint where UG has really gone wrong.;1;1;1;1;31;;;;;;;;;;;;;;;
I then try to make clear what the fatal problem with UG is.;1;3;0;-1;31;;;;;;;;;;;;;;;
Ambridge, Pine, and Lieven could have provided a stronger argument for their conclusion, which postulated that innate universal-grammar-specified knowledge does not simplify the language learning task, had they not paid so much attention to the Chomskyan paradigm.;1;1;0;-1;32;;;;;;;;;;;;;;;
I argue that poverty-of-the-stimulus arguments do not take into account that children are opportunistic learners employing multiple strategies, that they do not accomplish individual tasks sequentially but acquire (partial) knowledge about multiple domains simultaneously, and that they do not acquire perfect knowledge of language.;0;3;0;1;32;;;;;;;;;;;;;;;
Furthermore, work in formal linguistics suggests that the Chomskyan paradigm is internally incoherent and that the formalism of the Chomskyan framework lacks mathematical precision, making it difficult to evaluate its predictions.;-1;1;0;1;32;;;;;;;;;;;;;;;
Given that linguistics ought to provide crucial input for language acquisition research, more attention needs to be paid to non-Chomskyan work in linguistics.;0;3;-1;-1;32;;;;;;;;;;;;;;;
It is widely assumed that human learning and the structure of human languages are intimately related.;0;1;-1;-1;33;;;;;;;;;;;;;;;
